PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Schema items,Structured data issues,Is indexable page
26,https://diwansuite.com/ar,ديوان سويت | منصة حوكمة اجتماعات المجالس والقرارات,text/html,false,200,0,"BreadcrumbList
FAQPage
ItemList
Organization
SoftwareApplication
WebPage
WebSite",Schema.org validation error,true
25,https://diwansuite.com/ur/ai-governance-assistant,AI گورننس اسسٹنٹ | Diwan Suite,text/html,false,200,0,"BreadcrumbList
ItemList
Organization
Service
WebPage
WebSite",Schema.org validation error,true
25,https://diwansuite.com/ar/attendance-quorum-qr,إدارة النصاب والتصويت والحضور | ديوان سويت,text/html,false,200,0,"BreadcrumbList
FAQPage
ItemList
Organization
Service
WebPage
WebSite",Schema.org validation error,true
25,https://diwansuite.com/ar/sectors/authorities-organizations-governance,حوكمة مجالس الإدارة واللجان لدى الهيئات والمنظمات,text/html,false,200,0,"BreadcrumbList
FAQPage
ItemList
Organization
Service
WebPage
WebSite",Schema.org validation error,true
25,https://diwansuite.com/ar/banking-financial-governance,حوكمة للبنوك والقطاع المالي | ديوان سويت,text/html,false,200,0,"BreadcrumbList
FAQPage
ItemList
Organization
Service
WebPage
WebSite",Schema.org validation error,true
25,https://diwansuite.com/hi/decision-management-tracking,मीटिंग निर्णय ट्रैकिंग और निष्पादन | Diwan Suite,text/html,false,200,0,"BreadcrumbList
FAQPage
ItemList
Organization
Service
WebPage
WebSite",Schema.org validation error,true
25,https://diwansuite.com/ur/committee-management-software,کمیٹی میٹنگ مینجمنٹ سافٹ ویئر | Diwan Suite,text/html,false,200,0,"BreadcrumbList
FAQPage
ItemList
Organization
Service
WebPage
WebSite",Schema.org validation error,true
25,https://diwansuite.com/ur/government-governance-platform,سرکاری گورننس پلیٹ فارم | Diwan Suite,text/html,false,200,0,"BreadcrumbList
FAQPage
ItemList
Organization
Service
WebPage
WebSite",Schema.org validation error,true
25,https://diwansuite.com/en/sectors/municipalities-governance,Board and Committee Governance for Municipalities and Amanat,text/html,false,200,0,"BreadcrumbList
FAQPage
ItemList
Organization
Service
WebPage
WebSite",Schema.org validation error,true
25,https://diwansuite.com/hi/support,सपोर्ट और एनेबलमेंट | Diwan Suite,text/html,false,200,0,"BreadcrumbList
ItemList
Organization
Service
WebPage
WebSite",Schema.org validation error,true
25,https://diwansuite.com/ar/sectors/municipalities-governance,حوكمة مجالس الإدارة واللجان لدى الأمانات والبلديات,text/html,false,200,0,"BreadcrumbList
FAQPage
ItemList
Organization
Service
WebPage
WebSite",Schema.org validation error,true
